::::::
470622:10140222:Vicki:09/04/15:wrong size:notified client twice:04/03/18
472833:10141528:Jamie:09/21/15:Missing Fonts:customer notified:09/23/15
473502:10141686:Vicki:09/24/15:art not sized correctly::
473580:10141951:Sissy:09/24/15:art not sized correctly:Notified customer again :09/29/15
473854:10142122:Amanda:09/29/15:size problem (see email)::
474138:10142150:Vicki:09/29/15:Low res::
473897:10142155:Aman:09/25/15:art not sized correctly::
474086:10142215:Sissy:09/28/15:Possible critical elements outside live area:Notified customer this morning :09/29/15
473987:10142228:Vicki:09/29/15:missing art::
474107:10142294:Amanda:09/29/15:Size Issue::
474145:10142323:Vicki:09/29/15:can't find revised PPNs::
474146:10142324:steve:04/04/18:Testing duplicates::
